Item Number,Description,Width,Length,Height
C3.PS4001,"Блок распред.пит. управляемый C3, 1 фаза, 16А, С13-20, С19-4, 1 авт., вх.С20, каб.3м",56,52(83),1850
C3.PS4002,"Блок распред.пит. управляемый C3, 1 фаза, 32А, С13-20, С19-4, 2 авт., вх.IEC 309, каб.3м",56,52(83),1850
C3.PS4003,"Блок распред.пит. управляемый C3, 3 фазы, 16А, С13-21, С19-3, 3 авт., вх.IEC 309, каб.3м",56,52(83),1850
C3.PS4004,"Блок распред.пит. управляемый C3, 3 фазы, 32А, С13-21, С19-3, 6 авт., вх.IEC 309, каб.3м",56,52(83),1850
